LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS,razem_kontynuowane,MRiPS_kontynuowane,MSWIA_kontynuowane,MZ_kontynuowane,MEiN_kontynuowane,MKDNiS],razem_wypelnione,MRiPS_wypelnione,MSWIA_wypelnione,MZ_wypelnione,MEiN_wypelnione,MKDNiS_wypelnione,razem_rodzin_ogolem,MRiPS_rodzin_ogolem,MSWIA_rodzin_ogolem,MZ_rodzin_ogolem,MEiN_rodzin_ogolem,MKDNiS_rodzin_ogolem,razem_rodzin_psychiczna,MRiPS_rodzin_psychiczna,MSWIA_rodzin_psychiczna,MZ_rodzin_psychiczna,MEiN_rodzin_psychiczna,MKDNiS_rodzin_psychiczna,razem_rodzin_fizyczna,MRiPS_rodzin_fizyczna,MSWIA_rodzin_fizyczna,MZ_rodzin_fizyczna,MEiN_rodzin_fizyczna,MKDNiS_rodzin_fizyczna,razem_rodzin_seksualna,MRiPS_rodzin_seksualna,MSWIA_rodzin_seksualna,MZ_rodzin_seksualna,MEiN_rodzin_seksualna,MKDNiS_rodzin_seksualna,razem_osob,MRiPS_osob,MSWIA_osob,MZ_osob,MEiN_osob,MKDNiS_osob,razem_ogolem,MRiPS_ogolem,MSWIA_ogolem,MZ_ogolem,MEiN_ogolem,MKDNiS_ogolem,razem_kobiety_ogolem,MRiPS_kobiety_ogolem,MSWIA_kobiety_ogolem,MZ_kobiety_ogolem,MEiN_kobiety_ogolem,MKDNiS_kobiety_ogolem,razem_kobiety_niepelnosprawne,MRiPS_kobiety_niepelnosprawne,MSWIA_kobiety_niepelnosprawne,MZ_kobiety_niepelnosprawne,MEiN_kobiety_niepelnosprawne,MKDNiS_kobiety_niepelnosprawne,razem_kobiety_starsze,MRiPS_kobiety_starsze,MSWIA_kobiety_starsze,MZ_kobiety_starsze,MEiN_kobiety_starsze,MKDNiS_kobiety_starsze,razem_mezczyzni_ogolem,MRiPS_mezczyzni_ogolem,MSWIA_mezczyzni_ogolem,MZ_mezczyzni_ogolem,MEiN_mezczyzni_ogolem,MKDNiS_mezczyzni_ogolem,razem_mezczyzni_niepelnosprawni,MRiPS_mezczyzni_niepelnosprawni,MSWIA_mezczyzni_niepelnosprawni,MZ_mezczyzni_niepelnosprawni,MEiN_mezczyzni_niepelnosprawni,MKDNiS_mezczyzni_niepelnosprawni,razem_mezczyzni_starsi,MRiPS_mezczyzni_starsi,MSWIA_mezczyzni_starsi,MZ_mezczyzni_starsi,MEiN_mezczyzni_starsi,MKDNiS_mezczyzni_starsi,razem_dzieci_ogolem,MRiPS_dzieci_ogolem,MSWIA_dzieci_ogolem,MZ_dzieci_ogolem,MEiN_dzieci_ogolem,MKDNiS_dzieci_ogolem,razem_dzieci_dziewczynki,MRiPS_dzieci_dziewczynki,MSWIA_dzieci_dziewczynki,MZ_dzieci_dziewczynki,MEiN_dzieci_dziewczynki,MKDNiS_dzieci_dziewczynki,razem_dzieci_chlopcy,MRiPS_dzieci_chlopcy,MSWIA_dzieci_chlopcy,MZ_dzieci_chlopcy,MEiN_dzieci_chlopcy,MKDNiS_dzieci_chlopcy,razem_dzieci_niepelnosprawne,MRiPS_dzieci_niepelnosprawne,MSWIA_dzieci_niepelnosprawne,MZ_dzieci_niepelnosprawne,MEiN_dzieci_niepelnosprawne,MKDNiS_dzieci_niepelnosprawne,razem_formularze_C,MRiPS_formularze_C,MSWIA_formularze_C,MZ_formularze_C,MEiN_formularze_C,MKDNiS_formularze_C
1970,świętokrzyskie,jędrzejowski,Sobków,wiejska,OPS,302602082000,12,12,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,19,19,X,X,X,X,19,19,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,40,40,X,X,X,X,22,22,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
1971,świętokrzyskie,jędrzejowski,Wodzisław,wiejska,OPS,302602092000,15,15,X,X,X,X,11,11,X,X,X,X,2,2,X,X,X,X,19,19,X,X,X,X,14,14,X,X,X,X,13,13,X,X,X,X,1,1,X,X,X,X,83,83,X,X,X,X,26,26,X,X,X,X,16,16,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X
1972,świętokrzyskie,kazimierski,Bejsce,wiejska,OPS,302603012000,6,6,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,43,43,X,X,X,X,12,12,X,X,X,X,11,11,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
1973,świętokrzyskie,kazimierski,Czarnocin,wiejska,OPS,302603022000,13,13,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,13,13,X,X,X,X,11,11,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,30,30,X,X,X,X,29,29,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
1974,świętokrzyskie,kazimierski,Kazimierza Wielka,miejsko-wiejska,OPS,302603033000,37,37,X,X,X,X,16,16,X,X,X,X,3,3,X,X,X,X,53,53,X,X,X,X,26,26,X,X,X,X,27,27,X,X,X,X,0,0,X,X,X,X,163,163,X,X,X,X,153,153,X,X,X,X,81,81,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,51,51,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,21,21,X,X,X,X,15,15,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,36,36,X,X,X,X
1975,świętokrzyskie,kazimierski,Opatowiec,wiejska,OPS,302603042000,7,7,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X,7,7,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,34,34,X,X,X,X,12,12,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X
1976,świętokrzyskie,kazimierski,Skalbmierz,miejsko-wiejska,OPS,302603053000,14,14,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,21,21,X,X,X,X,21,21,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,52,52,X,X,X,X,51,51,X,X,X,X,16,16,X,X,X,X,2,2,X,X,X,X,6,6,X,X,X,X,23,23,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,12,12,X,X,X,X,4,4,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X
1977,świętokrzyskie,m. Kielce,M. Kielce,miejska,MOPR,252661011000,584,584,X,X,X,X,218,218,X,X,X,X,118,118,X,X,X,X,802,802,X,X,X,X,0,0,X,X,X,X,802,802,X,X,X,X,0,0,X,X,X,X,802,802,X,X,X,X,802,802,X,X,X,X,644,644,X,X,X,X,43,43,X,X,X,X,101,101,X,X,X,X,97,97,X,X,X,X,11,11,X,X,X,X,21,21,X,X,X,X,61,61,X,X,X,X,55,55,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,303,303,X,X,X,X
1978,świętokrzyskie,kielecki,Bieliny,wiejska,OPS,302604012000,19,19,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,23,23,X,X,X,X,23,23,X,X,X,X,18,18,X,X,X,X,2,2,X,X,X,X,85,85,X,X,X,X,58,58,X,X,X,X,32,32,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X,14,14,X,X,X,X,12,12,X,X,X,X,2,2,X,X,X,X,17,17,X,X,X,X
1979,świętokrzyskie,kielecki,Bodzentyn,miejsko-wiejska,OPS,302604023000,60,60,X,X,X,X,103,103,X,X,X,X,18,18,X,X,X,X,163,163,X,X,X,X,92,92,X,X,X,X,71,71,X,X,X,X,1,1,X,X,X,X,450,450,X,X,X,X,277,277,X,X,X,X,117,117,X,X,X,X,7,7,X,X,X,X,34,34,X,X,X,X,94,94,X,X,X,X,14,14,X,X,X,X,13,13,X,X,X,X,66,66,X,X,X,X,22,22,X,X,X,X,44,44,X,X,X,X,5,5,X,X,X,X,60,60,X,X,X,X
1980,świętokrzyskie,kielecki,Chęciny,miejsko-wiejska,OPS,302604033000,51,51,X,X,X,X,18,18,X,X,X,X,13,13,X,X,X,X,39,39,X,X,X,X,39,39,X,X,X,X,28,28,X,X,X,X,1,1,X,X,X,X,157,157,X,X,X,X,157,157,X,X,X,X,62,62,X,X,X,X,10,10,X,X,X,X,20,20,X,X,X,X,59,59,X,X,X,X,4,4,X,X,X,X,15,15,X,X,X,X,36,36,X,X,X,X,17,17,X,X,X,X,19,19,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
1981,świętokrzyskie,kielecki,Chmielnik,miejsko-wiejska,OPS,302604043000,31,31,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,31,31,X,X,X,X,13,13,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,31,31,X,X,X,X,31,31,X,X,X,X,24,24,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X
1982,świętokrzyskie,kielecki,Daleszyce,miejsko-wiejska,OPS,302604053000,59,59,X,X,X,X,29,29,X,X,X,X,4,4,X,X,X,X,48,48,X,X,X,X,19,19,X,X,X,X,28,28,X,X,X,X,1,1,X,X,X,X,108,108,X,X,X,X,108,108,X,X,X,X,60,60,X,X,X,X,4,4,X,X,X,X,15,15,X,X,X,X,38,38,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,10,10,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,43,43,X,X,X,X
1983,świętokrzyskie,kielecki,Górno,wiejska,OPS,302604062000,35,35,X,X,X,X,24,24,X,X,X,X,11,11,X,X,X,X,84,84,X,X,X,X,48,48,X,X,X,X,36,36,X,X,X,X,0,0,X,X,X,X,151,151,X,X,X,X,95,95,X,X,X,X,53,53,X,X,X,X,3,3,X,X,X,X,9,9,X,X,X,X,14,14,X,X,X,X,2,2,X,X,X,X,6,6,X,X,X,X,28,28,X,X,X,X,11,11,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X
1984,świętokrzyskie,kielecki,Łagów,miejsko-wiejska,OPS,302604072000,23,23,X,X,X,X,10,10,X,X,X,X,8,8,X,X,X,X,32,32,X,X,X,X,32,32,X,X,X,X,14,14,X,X,X,X,1,1,X,X,X,X,51,51,X,X,X,X,46,46,X,X,X,X,32,32,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,9,9,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,12,12,X,X,X,X
1985,świętokrzyskie,kielecki,Łopuszno,wiejska,OPS,302604082000,26,26,X,X,X,X,12,12,X,X,X,X,4,4,X,X,X,X,34,34,X,X,X,X,20,20,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,85,85,X,X,X,X,36,36,X,X,X,X,31,31,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,24,24,X,X,X,X
1986,świętokrzyskie,kielecki,Masłów,wiejska,OPS,302604092000,43,43,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,68,68,X,X,X,X,43,43,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,110,110,X,X,X,X,110,110,X,X,X,X,32,32,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,45,45,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X,33,33,X,X,X,X,20,20,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,37,37,X,X,X,X
1987,świętokrzyskie,kielecki,Miedziana Góra,wiejska,OPS,302604102000,22,22,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,28,28,X,X,X,X,2,2,X,X,X,X,28,28,X,X,X,X,0,0,X,X,X,X,84,84,X,X,X,X,84,84,X,X,X,X,32,32,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,32,32,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,20,20,X,X,X,X,11,11,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,17,17,X,X,X,X
1988,świętokrzyskie,kielecki,Mniów,wiejska,OPS,302604112000,28,28,X,X,X,X,19,19,X,X,X,X,2,2,X,X,X,X,47,47,X,X,X,X,28,28,X,X,X,X,28,28,X,X,X,X,2,2,X,X,X,X,138,138,X,X,X,X,138,138,X,X,X,X,42,42,X,X,X,X,2,2,X,X,X,X,5,5,X,X,X,X,44,44,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,52,52,X,X,X,X,36,36,X,X,X,X,16,16,X,X,X,X,3,3,X,X,X,X,28,28,X,X,X,X
1989,świętokrzyskie,kielecki,Morawica,miejsko-wiejska,OPS,302604122000,63,63,X,X,X,X,22,22,X,X,X,X,16,16,X,X,X,X,85,85,X,X,X,X,85,85,X,X,X,X,37,37,X,X,X,X,3,3,X,X,X,X,196,196,X,X,X,X,196,196,X,X,X,X,74,74,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,77,77,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,45,45,X,X,X,X,22,22,X,X,X,X,23,23,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X
1990,świętokrzyskie,kielecki,Nowa Słupia,wiejska,OPS,302604132000,39,39,X,X,X,X,18,18,X,X,X,X,25,25,X,X,X,X,48,48,X,X,X,X,32,32,X,X,X,X,16,16,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,64,64,X,X,X,X,46,46,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,10,10,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,8,8,X,X,X,X,6,6,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,27,27,X,X,X,X
1991,świętokrzyskie,kielecki,Nowiny,wiejska,OPS,302604172000,32,32,X,X,X,X,23,23,X,X,X,X,19,19,X,X,X,X,26,26,X,X,X,X,26,26,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,64,64,X,X,X,X,47,47,X,X,X,X,30,30,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,12,12,X,X,X,X,7,7,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X
1992,świętokrzyskie,kielecki,Piekoszów,wiejska,OPS,302604142000,0,0,X,X,X,X,39,39,X,X,X,X,0,0,X,X,X,X,38,38,X,X,X,X,19,19,X,X,X,X,35,35,X,X,X,X,0,0,X,X,X,X,125,125,X,X,X,X,78,78,X,X,X,X,42,42,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,35,35,X,X,X,X,15,15,X,X,X,X,20,20,X,X,X,X,1,1,X,X,X,X,25,25,X,X,X,X
1993,świętokrzyskie,kielecki,Pierzchnica,wiejska,OPS,302604152000,5,5,X,X,X,X,18,18,X,X,X,X,2,2,X,X,X,X,23,23,X,X,X,X,18,18,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,85,85,X,X,X,X,26,26,X,X,X,X,22,22,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
1994,świętokrzyskie,kielecki,Raków,wiejska,OPS,302604162000,20,20,X,X,X,X,22,22,X,X,X,X,6,6,X,X,X,X,40,40,X,X,X,X,28,28,X,X,X,X,18,18,X,X,X,X,1,1,X,X,X,X,153,153,X,X,X,X,110,110,X,X,X,X,55,55,X,X,X,X,2,2,X,X,X,X,8,8,X,X,X,X,17,17,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,38,38,X,X,X,X,23,23,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,15,15,X,X,X,X
1995,świętokrzyskie,kielecki,Strawczyn,wiejska,OPS,302604182000,57,57,X,X,X,X,5,5,X,X,X,X,9,9,X,X,X,X,45,45,X,X,X,X,20,20,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,116,116,X,X,X,X,58,58,X,X,X,X,52,52,X,X,X,X,3,3,X,X,X,X,8,8,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X
1996,świętokrzyskie,kielecki,Zagnańsk,wiejska,OPS,302604192000,28,28,X,X,X,X,14,14,X,X,X,X,7,7,X,X,X,X,43,43,X,X,X,X,40,40,X,X,X,X,24,24,X,X,X,X,0,0,X,X,X,X,123,123,X,X,X,X,80,80,X,X,X,X,35,35,X,X,X,X,1,1,X,X,X,X,7,7,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,37,37,X,X,X,X,20,20,X,X,X,X,17,17,X,X,X,X,2,2,X,X,X,X,28,28,X,X,X,X
1997,świętokrzyskie,konecki,Fałków,wiejska,OPS,302605012000,7,7,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,12,12,X,X,X,X,3,3,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,32,32,X,X,X,X,14,14,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
1998,świętokrzyskie,konecki,Gowarczów,wiejska,OPS,302605022000,7,7,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,36,36,X,X,X,X,21,21,X,X,X,X,10,10,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X
1999,świętokrzyskie,konecki,Końskie,miejsko-wiejska,OPS,302605033000,119,119,X,X,X,X,24,24,X,X,X,X,2,2,X,X,X,X,139,139,X,X,X,X,110,110,X,X,X,X,59,59,X,X,X,X,2,2,X,X,X,X,363,363,X,X,X,X,143,143,X,X,X,X,121,121,X,X,X,X,7,7,X,X,X,X,31,31,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,15,15,X,X,X,X,7,7,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,110,110,X,X,X,X
2000,świętokrzyskie,konecki,Radoszyce,miejsko-wiejska,OPS,302605042000,23,23,X,X,X,X,5,5,X,X,X,X,23,23,X,X,X,X,28,28,X,X,X,X,19,19,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,47,47,X,X,X,X,32,32,X,X,X,X,22,22,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X,4,4,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
2001,świętokrzyskie,konecki,Ruda Maleniecka,wiejska,OPS,302605052000,4,4,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X,12,12,X,X,X,X,5,5,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X
2002,świętokrzyskie,konecki,Słupia Konecka,wiejska,OPS,302605062000,16,16,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,14,14,X,X,X,X,14,14,X,X,X,X,10,10,X,X,X,X,1,1,X,X,X,X,34,34,X,X,X,X,31,31,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,16,16,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
2003,świętokrzyskie,konecki,Smyków,wiejska,OPS,302605072000,12,12,X,X,X,X,8,8,X,X,X,X,2,2,X,X,X,X,20,20,X,X,X,X,20,20,X,X,X,X,20,20,X,X,X,X,0,0,X,X,X,X,47,47,X,X,X,X,20,20,X,X,X,X,16,16,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X
2004,świętokrzyskie,konecki,Stąporków,miejsko-wiejska,OPS,302605083000,69,69,X,X,X,X,37,37,X,X,X,X,28,28,X,X,X,X,76,76,X,X,X,X,75,75,X,X,X,X,48,48,X,X,X,X,1,1,X,X,X,X,105,105,X,X,X,X,80,80,X,X,X,X,64,64,X,X,X,X,10,10,X,X,X,X,22,22,X,X,X,X,10,10,X,X,X,X,3,3,X,X,X,X,4,4,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,45,45,X,X,X,X
2005,świętokrzyskie,opatowski,Baćkowice,wiejska,OPS,302606012000,10,10,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,11,11,X,X,X,X,11,11,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,35,35,X,X,X,X,24,24,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X
2006,świętokrzyskie,opatowski,Iwaniska,wiejska,OPS,302606022000,9,9,X,X,X,X,8,8,X,X,X,X,18,18,X,X,X,X,17,17,X,X,X,X,16,16,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,36,36,X,X,X,X,36,36,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,20,20,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X
2007,świętokrzyskie,opatowski,Lipnik,wiejska,OPS,302606032000,15,15,X,X,X,X,6,6,X,X,X,X,2,2,X,X,X,X,19,19,X,X,X,X,19,19,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,61,61,X,X,X,X,43,43,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,24,24,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,2,2,X,X,X,X,14,14,X,X,X,X
2008,świętokrzyskie,opatowski,Opatów,miejsko-wiejska,OPS,302606043000,25,25,X,X,X,X,3,3,X,X,X,X,25,25,X,X,X,X,36,36,X,X,X,X,21,21,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,85,85,X,X,X,X,85,85,X,X,X,X,29,29,X,X,X,X,4,4,X,X,X,X,7,7,X,X,X,X,31,31,X,X,X,X,3,3,X,X,X,X,7,7,X,X,X,X,25,25,X,X,X,X,14,14,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X
2009,świętokrzyskie,opatowski,Ożarów,miejsko-wiejska,OPS,302606053000,20,20,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,23,23,X,X,X,X,13,13,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,53,53,X,X,X,X,48,48,X,X,X,X,25,25,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,21,21,X,X,X,X,11,11,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X
2010,świętokrzyskie,opatowski,Sadowie,wiejska,OPS,302606062000,12,12,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,33,33,X,X,X,X,28,28,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
2011,świętokrzyskie,opatowski,Tarłów,wiejska,OPS,302606072000,11,11,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,35,35,X,X,X,X,12,12,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
2012,świętokrzyskie,opatowski,Wojciechowice,wiejska,OPS,302606082000,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,31,31,X,X,X,X,20,20,X,X,X,X,20,20,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
