LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS
226,kujawsko - pomorskie,inowrocławski,Inowrocław,wiejska,OPS,300407042000,18,18,X,X,X,X
227,kujawsko - pomorskie,inowrocławski,Janikowo,miejsko-wiejska,OPS,300407053000,29,29,X,X,X,X
228,kujawsko - pomorskie,inowrocławski,Kruszwica,miejsko-wiejska,OPS,300407063000,37,37,X,X,X,X
229,kujawsko - pomorskie,inowrocławski,Pakość,miejsko-wiejska,OPS,300407073000,20,20,X,X,X,X
230,kujawsko - pomorskie,inowrocławski,Rojewo,wiejska,OPS,300407082000,27,27,X,X,X,X
231,kujawsko - pomorskie,inowrocławski,Złotniki Kujawskie,wiejska,OPS,300407092000,17,17,X,X,X,X
232,kujawsko - pomorskie,lipnowski,Bobrowniki,wiejska,OPS,300408022000,0,0,X,X,X,X
233,kujawsko - pomorskie,lipnowski,Chrostkowo,wiejska,OPS,300408032000,1,1,X,X,X,X
234,kujawsko - pomorskie,lipnowski,Dobrzyń nad Wisłą,miejsko-wiejska,OPS,300408043000,10,10,X,X,X,X
235,kujawsko - pomorskie,lipnowski,Kikół,wiejska,OPS,300408052000,12,12,X,X,X,X
236,kujawsko - pomorskie,lipnowski,Lipno,miejska,OPS,300408011000,33,33,X,X,X,X
237,kujawsko - pomorskie,lipnowski,Lipno,wiejska,OPS,300408062000,10,10,X,X,X,X
238,kujawsko - pomorskie,lipnowski,Skępe,miejsko-wiejska,OPS,300408073000,7,7,X,X,X,X
239,kujawsko - pomorskie,lipnowski,Tłuchowo,wiejska,OPS,300408082000,22,22,X,X,X,X
240,kujawsko - pomorskie,lipnowski,Wielgie,wiejska,OPS,300408092000,8,8,X,X,X,X
241,kujawsko - pomorskie,mogileński,Dąbrowa,wiejska,OPS,300409012000,1,1,X,X,X,X
242,kujawsko - pomorskie,mogileński,Jeziora Wielkie,wiejska,OPS,300409022000,6,6,X,X,X,X
243,kujawsko - pomorskie,mogileński,Mogilno,miejsko-wiejska,OPS,300409033000,14,14,X,X,X,X
244,kujawsko - pomorskie,mogileński,Strzelno,miejsko-wiejska,OPS,300409043000,9,9,X,X,X,X
245,kujawsko - pomorskie,nakielski,Kcynia,miejsko-wiejska,OPS,300410013000,17,17,X,X,X,X
246,kujawsko - pomorskie,nakielski,Mrocza,miejsko-wiejska,OPS,300410023000,19,19,X,X,X,X
247,kujawsko - pomorskie,nakielski,Nakło nad Notecią,miejsko-wiejska,OPS,300410033000,45,45,X,X,X,X
248,kujawsko - pomorskie,nakielski,Sadki,wiejska,OPS,300410042000,0,0,X,X,X,X
249,kujawsko - pomorskie,nakielski,Szubin,miejsko-wiejska,OPS,300410053000,35,35,X,X,X,X
250,kujawsko - pomorskie,radziejowski,Bytoń,wiejska,OPS,300411022000,6,6,X,X,X,X
251,kujawsko - pomorskie,radziejowski,Dobre,wiejska,OPS,300411032000,17,17,X,X,X,X
252,kujawsko - pomorskie,radziejowski,Osięciny,wiejska,OPS,300411042000,10,10,X,X,X,X
253,kujawsko - pomorskie,radziejowski,Piotrków Kujawski,miejsko-wiejska,OPS,300411053000,6,6,X,X,X,X
254,kujawsko - pomorskie,radziejowski,Radziejów,miejska,OPS,300411011000,5,5,X,X,X,X
255,kujawsko - pomorskie,radziejowski,Radziejów,wiejska,OPS,300411062000,6,6,X,X,X,X
256,kujawsko - pomorskie,radziejowski,Topólka,wiejska,OPS,300411072000,2,2,X,X,X,X
257,kujawsko - pomorskie,rypiński,Brzuze,wiejska,OPS,300412022000,0,0,X,X,X,X
258,kujawsko - pomorskie,rypiński,Rogowo,wiejska,OPS,300412032000,2,2,X,X,X,X
259,kujawsko - pomorskie,rypiński,Rypin,miejska,OPS,300412011000,16,16,X,X,X,X
260,kujawsko - pomorskie,rypiński,Rypin,wiejska,OPS,300412042000,3,3,X,X,X,X
261,kujawsko - pomorskie,rypiński,Skrwilno,wiejska,OPS,300412052000,6,6,X,X,X,X
262,kujawsko - pomorskie,rypiński,Wąpielsk,wiejska,OPS,300412062000,3,3,X,X,X,X
